Threshold,Detected_Cells,True_Cells,False_Alarm_Cells,False_Cells,Detection_Rate,False_Alarm_Rate
-1.05,371009,371009,7825165,7869631,1.0,0.9943496715411434
-1.04,371009,371009,7825165,7869631,1.0,0.9943496715411434
-1.03,371009,371009,7825165,7869631,1.0,0.9943496715411434
-1.02,371009,371009,7825165,7869631,1.0,0.9943496715411434
-1.01,371009,371009,7825165,7869631,1.0,0.9943496715411434
-1.0,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.99,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.98,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.97,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.96,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.95,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.94,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.9299999999999999,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.9199999999999999,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.9099999999999999,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.8999999999999999,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.8899999999999999,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.8799999999999999,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.8699999999999999,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.8599999999999999,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.8499999999999999,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.8399999999999999,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.8299999999999998,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.8199999999999998,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.8099999999999998,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.7999999999999998,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.7899999999999998,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.7799999999999998,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.7699999999999998,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.7599999999999998,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.7499999999999998,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.7399999999999998,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.7299999999999998,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.7199999999999998,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.7099999999999997,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.6999999999999997,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.6899999999999997,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.6799999999999997,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.6699999999999997,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.6599999999999997,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.6499999999999997,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.6399999999999997,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.6299999999999997,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.6199999999999997,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.6099999999999997,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.5999999999999996,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.5899999999999996,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.5799999999999996,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.5699999999999996,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.5599999999999996,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.5499999999999996,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.5399999999999996,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.5299999999999996,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.5199999999999996,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.5099999999999996,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.49999999999999956,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.48999999999999955,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.47999999999999954,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.46999999999999953,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.4599999999999995,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.4499999999999995,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.4399999999999995,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.4299999999999995,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.4199999999999995,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.4099999999999995,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.39999999999999947,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.38999999999999946,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.37999999999999945,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.36999999999999944,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.35999999999999943,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.3499999999999994,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.3399999999999994,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.3299999999999994,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.3199999999999994,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.3099999999999994,371009,371009,7825165,7869631,1.0,0.9943496715411434
-0.2999999999999994,371009,371009,7825165,7869631,1.0,0.9943496715411434
